RGN20CD,RGN20NM
E12000001,North East
E12000002,North West
E12000003,Yorkshire and The Humber
E12000004,East Midlands
E12000005,West Midlands
E12000006,East of England
E12000007,London
E12000008,South East
E12000009,South West
W99999999,(pseudo) Wales
S99999999,(pseudo) Scotland
N99999999,(pseudo) Northern Ireland
L99999999,(pseudo) Channel Islands
M99999999,(pseudo) Isle of Man
